12/11/17 03:05:38.201 BROM_DLL[5904][2632]: (1001) S_UNDEFINED_ERROR                                  (FlashToolLib/sv5/common/interface/src/brom.cpp:717)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: (1002) S_INVALID_ARGUMENTS                                (FlashToolLib/sv5/common/interface/src/brom.cpp:717)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: (1003) S_INVALID_BBCHIP_TYPE                              (FlashToolLib/sv5/common/interface/src/brom.cpp:717)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: (1004) S_INVALID_EXT_CLOCK                                (FlashToolLib/sv5/common/interface/src/brom.cpp:717)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: (1005) S_INVALID_BMTSIZE                                  (FlashToolLib/sv5/common/interface/src/brom.cpp:717)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: (1006) S_GET_DLL_VER_FAIL                                 (FlashToolLib/sv5/common/interface/src/brom.cpp:717)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: (1007) S_INVALID_BUF                                      (FlashToolLib/sv5/common/interface/src/brom.cpp:717)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: (1008) S_BUF_IS_NULL                                      (FlashToolLib/sv5/common/interface/src/brom.cpp:717)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: (1009) S_BUF_LEN_IS_ZERO                                  (FlashToolLib/sv5/common/interface/src/brom.cpp:717)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: (1010) S_BUF_SIZE_TOO_SMALL                               (FlashToolLib/sv5/common/interface/src/brom.cpp:717)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: (1011) S_NOT_ENOUGH_STORAGE_SPACE                         (FlashToolLib/sv5/common/interface/src/brom.cpp:717)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: (1012) S_NOT_ENOUGH_MEMORY                                (FlashToolLib/sv5/common/interface/src/brom.cpp:717)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: (1013) S_COM_PORT_OPEN_FAIL                               (FlashToolLib/sv5/common/interface/src/brom.cpp:717)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: (1014) S_COM_PORT_SET_TIMEOUT_FAIL                        (FlashToolLib/sv5/common/interface/src/brom.cpp:717)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: (1015) S_COM_PORT_SET_STATE_FAIL                          (FlashToolLib/sv5/common/interface/src/brom.cpp:717)
